Category: All categories

Country,Chernobyl disaster: (1/1/19 - 6/4/19)
Guernsey,
Ireland,100
Åland Islands,
Paraguay,98
Iceland,
Jersey,
United Kingdom,86
Lithuania,85
Sweden,84
Norway,81
Isle of Man,
North Macedonia,79
Croatia,77
Czechia,77
Chile,76
Slovakia,75
China,68
Georgia,66
Bosnia & Herzegovina,65
Hungary,62
Turkey,60
Montenegro,
Slovenia,58
Finland,56
Latvia,53
Malta,
Argentina,51
Serbia,51
Estonia,
Costa Rica,47
New Zealand,45
Mexico,45
Uruguay,45
Faroe Islands,
Puerto Rico,44
Denmark,43
Spain,43
Azerbaijan,42
Romania,41
Honduras,
Bulgaria,40
United States,39
Cuba,
El Salvador,
Portugal,38
Cyprus,
Panama,
Nicaragua,
San Marino,
Venezuela,36
Gibraltar,
Greenland,
St. Helena,
Andorra,
Canada,32
Netherlands,32
Australia,32
Western Sahara,
Bermuda,
Bolivia,31
Belgium,30
Greece,29
Colombia,28
Mongolia,
Kuwait,
Brazil,26
Guam,
Brunei,
Ukraine,25
Peru,25
Kosovo,
Belarus,25
Tunisia,
Egypt,23
Albania,
Saudi Arabia,22
Israel,22
Macao,
Syria,
Curaçao,
Guatemala,
Ecuador,21
Jordan,
Moldova,
France,20
Libya,
Italy,20
Luxembourg,
Cayman Islands,
Hong Kong,19
Iran,19
United Arab Emirates,19
Bahrain,
Maldives,
Algeria,18
Morocco,17
Aruba,
Belize,
Qatar,
Lebanon,
Namibia,
Singapore,16
Iraq,
Austria,15
Switzerland,15
Russia,15
Palestine,
French Polynesia,
South Africa,14
Barbados,
Poland,14
Trinidad & Tobago,
U.S. Virgin Islands,
Bahamas,
Mauritania,
South Korea,13
Germany,13
Oman,
Sudan,
Bangladesh,12
Nepal,
Armenia,
Dominican Republic,
Monaco,
Seychelles,
Sint Maarten,
Liechtenstein,
Mauritius,
Réunion,
Afghanistan,
Philippines,11
Bhutan,
French Guiana,
New Caledonia,
Zimbabwe,
St. Lucia,
Pakistan,9
Grenada,
Sri Lanka,
Cape Verde,
Malaysia,8
Kazakhstan,
Malawi,
Angola,
Suriname,
Martinique,
Botswana,
Fiji,
Guadeloupe,
India,6
Kenya,
Rwanda,
Yemen,
Taiwan,6
Guyana,
Burkina Faso,
Senegal,
Ghana,
Tajikistan,
Kyrgyzstan,
Côte d’Ivoire,
Cambodia,
Zambia,
Uzbekistan,
Ethiopia,
Myanmar (Burma),
Haiti,
Turkmenistan,
Indonesia,4
Somalia,
Jamaica,
Madagascar,
Nigeria,
Thailand,3
Gabon,
Uganda,
Congo - Kinshasa,
Guinea,
Laos,
Mozambique,
Vietnam,2
Cameroon,
Mali,
Tanzania,
Japan,1
Svalbard & Jan Mayen,
St. Pierre & Miquelon,
Tonga,
São Tomé & Príncipe,
Solomon Islands,
Vanuatu,
Samoa,
Central African Republic,
Caribbean Netherlands,
St. Kitts & Nevis,
Turks & Caicos Islands,
Dominica,
Mayotte,
Djibouti,
Timor-Leste,
Gambia,
Antigua & Barbuda,
Liberia,
Eswatini,
Lesotho,
Congo - Brazzaville,
Benin,
Papua New Guinea,
Togo,
Anguilla,
American Samoa,
Antarctica,
French Southern Territories,
Burundi,
St. Barthélemy,
Bouvet Island,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Christmas Island,
Eritrea,
Falkland Islands (Islas Malvinas),
Micronesia,
Guinea-Bissau,
Equatorial Guinea,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St. Martin,
Marshall Islands,
Northern Mariana Islands,
Montserrat,
Niger,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia & South Sandwich Islands,
Sierra Leone,
South Sudan,
Chad,
Tokelau,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
Wallis & Futuna,
